,X,Y,impact_parameter,angle,z_factor,flux_o
0,-15.682348864195982,20.72778088754392,25.991863465715188,3.789295495757034,0.9796779583829708,1.4756752170074586e-13
0,12.826055296784467,-4.481499159783256,13.586446525685476,1.2346508867563712,1.3148021751220762,4.216716878855041e-13
0,-19.828997914845242,-27.397496400214596,33.82028928478745,5.656695503389383,0.9881225422584046,3.646125628520849e-14
0,-4.585653957540769,-4.18597482108726,6.208913545950358,5.452253652767515,1.0421332175113458,2.6863372380829592e-12
0,-22.786701100996886,-19.253994081302825,29.832030355794036,5.4139534425593085,0.9687055947389003,8.431580890744982e-14
0,-71.53234044366826,39.028650993891326,81.48687825504075,4.212923634816042,0.9548719867758613,9.330813070313345e-15
0,-24.922959583978482,-35.53805033101931,43.40630064581278,5.67158503670248,0.987809947041737,1.773984310323247e-14
0,9.949544235294134,10.727179686888599,14.63098815954924,2.393785992711244,1.2322730992815554,4.273442835079234e-13
0,-0.30503513052830705,24.5773455968812,24.579238454829966,3.154003248068811,1.0394276876345703,1.028316484328857e-13
0,6.178967092734444,9.937930777132925,11.702226389203936,2.585329576370813,1.2627619676757278,7.110232088128364e-13
0,-58.995333372914224,-22.600323810314734,63.176134703797494,5.078230387711368,0.9399367101236349,2.47870781932715e-14
0,3.2260474439557907,14.663693424508295,15.014369349347362,2.9250400790760733,1.1186877459887559,4.43762911854619e-13
0,-30.030075569601607,-34.96991583940394,46.09447312347737,5.573638890182163,0.9816235850531403,1.7806198961508184e-14
0,4.811482894539019,48.94298537562254,49.17892012969422,3.043599610955106,1.022149192492179,1.0931026093879577e-14
0,-11.075266915290344,52.083977773581296,53.24849554648314,3.351114379809449,1.0054318884197144,9.32573116379436e-15
0,-16.156792497418163,-14.08627502825886,21.435136761317317,5.429431259812858,0.9718203285191361,1.9882751718217192e-13
0,-3.545885855234677,30.603424202355228,30.80816254513818,3.256943954445327,1.0216264295649553,5.148814419988885e-14
0,-4.476403204860818,-42.52859602263142,42.76353195549532,6.178315138558412,1.0123139789142686,1.1146138496034896e-14
0,-36.17317455155294,-44.05384037793496,57.002100041855385,5.5957025977528465,0.9830736250482489,9.355508913089275e-15
0,56.276336558473155,27.24717503821604,62.52547164160959,2.0216979278166174,1.0959210016540777,1.3086879042247223e-14
0,-43.74556451152486,40.19294563573588,59.406626678420345,3.9692896360468706,0.970038885404441,1.4258162249324813e-14
0,-6.202256709108078,21.05637381103311,21.9508283751579,3.4280464274580176,1.0184718868941331,1.7453402533508316e-13
0,-63.97397514794032,26.13672868400475,69.10714928667339,4.32453155435237,0.9402697771624309,2.0473385114781672e-14
0,-25.257450422081387,53.05397899101614,58.75936936866393,3.5859143071439035,0.9933014257154653,8.277357960430907e-15
0,-24.24637349798808,42.5248069541108,48.951464066852274,3.659789560843458,0.989521009116054,1.605378656772333e-14
0,-44.65937868501177,-40.264403911545934,60.13054404280239,5.446081281284285,0.9736945104822535,1.0877400556582888e-14
0,-1.2498440463364742,13.31643578777357,13.374960644056468,3.2351757495341347,1.0839816007427283,7.424180471162834e-13
0,8.780094207064716,6.162752272882612,10.727048515871044,2.1827966376329146,1.4421656972289618,6.49862916880125e-13
0,-9.078384016063584,47.05518093323586,47.92292884416271,3.3321815591541464,1.007659386568016,1.2894079934572422e-14
0,-9.701057957277433,-17.633099427144952,20.125524114865566,5.780217871778613,1.004130911809695,1.2247260627517203e-13
0,40.66802816227428,24.06260511040268,47.25354462161237,2.1050783819751024,1.1047078010696114,2.4800029797360146e-14
0,-1.7067280864449206,-11.782883849170663,11.905850350315461,6.1393376816628,1.0529577786168438,3.2031693225618564e-13
0,41.7537214538881,-11.520513841939897,43.31391802216932,1.3015788503685104,1.1470689965897212,3.986086219081487e-14
0,-20.827076795301238,-3.0354337967571174,21.047113487884047,4.8571145835548934,0.8762777949824637,1.0237128803820369e-12
0,-70.78146859966687,27.67917894664552,76.00100817940543,4.339620801819346,0.9411355193173353,1.5910315294981348e-14
0,-6.759548514845586,-33.49828061416065,34.17347363423277,6.084071181878412,1.0115669478178528,2.173046333906504e-14
0,-48.73533919744148,-4.138726423446449,48.910758970780755,4.797108201778712,0.9019474406887433,9.990860912609676e-14
0,42.21316530637049,-37.61479447098511,56.54046416750939,0.8429380892535641,1.0610834303312386,9.291077690500754e-15
0,28.04916020128871,44.07793521343362,52.24576308828507,2.5748704593633587,1.0487911795909872,1.087810273379933e-14
0,-33.501714006011795,-33.01696925366871,47.03706092049452,5.4904999253947215,0.9758871952944296,1.9877493289874383e-14
0,3.086561048861655,15.200275694930124,15.510488074533097,2.941256963035345,1.1104701745239653,4.061709187081011e-13
0,-98.69875113578385,13.477691824445733,99.6147160447598,4.576674556172228,0.9282028236375715,1.1549029858843194e-14
0,45.49227252607223,-30.60437252490313,54.828591785942045,0.9786023819090679,1.0774123356304321,1.265737593749379e-14
0,-2.604772857043774,-11.267541111594761,11.564701653664486,6.05600132141354,1.0479954616867668,3.631976497209339e-13
0,63.75350973878603,-11.236928929156125,64.73622305766989,1.3963323901203353,1.1266298110414465,1.6616429814837907e-14
0,-52.591002727778594,47.39119678830588,70.79363743261925,3.9789513207625267,0.9712878481392055,8.43323691052873e-15
0,-52.893762899752595,13.658428704230717,54.628772898206286,4.4596853675557,0.9181966847894257,5.784962858717316e-14
0,1.1961161766187123,7.905863802930654,7.995834939420529,2.9914366274829574,1.3524141606076212,1.1452090927930035e-12
0,-47.9449691194231,19.01375583956836,51.57754332060761,4.334839037761693,0.9310265862797551,5.146642660851353e-14
0,23.608223133175926,-29.75812512906539,37.98544735425576,0.6706649409898577,1.061387339735835,2.1119191503641905e-14
0,-18.26539019335046,-45.64140868198272,49.16058040128402,5.90251222324103,0.9988643194050407,9.193473934353573e-15
0,3.185236903674216,-8.944539021904667,9.49476236916456,0.3421073363216727,1.1246605068599616,4.817201613472587e-13
0,33.87640696751346,13.895605288379741,36.615554008631925,1.9600522098513007,1.1549541829973944,5.834019129785253e-14
0,53.03693455677569,-35.40948731209712,63.7710609829041,0.9821213753653277,1.0706221866304397,8.528534052768261e-15
0,-0.28813880616667076,50.10509051766708,50.10591900918723,3.147343279463565,1.0163761914191984,1.0434375520372933e-14
0,-41.2248624728129,46.63974826248445,62.247533315708665,3.865441051425967,0.9776878565750932,1.0175238545469182e-14
0,25.55099083369818,-25.519433601483435,36.11225033038304,0.7860160793154646,1.075863834348311,2.791248417792111e-14
0,-25.152218003042186,-3.922855090412256,25.45629318131241,4.86710709134993,0.8846708018514715,5.894682951711868e-13
0,-30.918449911822197,16.69527037918076,35.138050571763486,4.217273059907428,0.9349101129794778,1.2693466498468853e-13
0,15.54535015783822,55.2842471655957,57.42826739678359,2.8674812628220363,1.027539806887108,6.91267917832112e-15
0,-10.125276673866965,35.172328699603035,36.60073679415858,3.421889929099669,1.0063560780383385,3.2465991110887144e-14
0,93.99874732330429,11.698290607090545,94.72388559111343,1.6946112810619742,1.1061688948575368,6.706248900701482e-15
0,-38.0526572441433,-33.76370640655483,50.872316574422705,5.438136912241139,0.9722368251252957,1.78509443178304e-14
0,-46.01227049034176,-35.741555513453555,58.263091457608546,5.372812108684108,0.9679515802429797,1.4122460370894172e-14
0,-79.73102643589178,-29.151614592103726,84.89318706378874,5.062914783877602,0.9445663919646623,1.0887150239300953e-14
0,-16.96604861214664,-26.51143453400561,31.47543433474093,5.7139060871684615,0.992458121536577,4.0529678899709235e-14
0,44.405342520344654,-44.8814611340124,63.1362019595176,0.7800657505276745,1.0513706843955903,6.257530304526394e-15
0,42.823526193964334,-44.44777531178033,61.720815984979154,0.7667888200184846,1.051052089692327,6.5256682687249504e-15
0,34.927156234994946,-12.812467905859931,37.20303181868969,1.2192040515555091,1.145256770244658,5.0979664764636613e-14
0,-43.4913627679899,-2.74611532369111,43.57797361956966,4.775446893284787,0.8960354685140988,1.4422882981016642e-13
0,-28.357543659597088,52.396541698455245,59.578082080274406,3.6376624328489835,0.9906305576986799,8.398048608206927e-15
0,-10.743548727114316,20.657101612641437,23.283893280267222,3.621182662943792,0.9975278346243197,1.7191926382632496e-13
0,2.4106625063663545,-33.671011698338745,33.7571966032321,0.07147264543718955,1.025182655086946,2.0525583849474117e-14
0,-29.46993955680417,-37.57443345555742,47.752647957865165,5.618085987595341,0.9843976009682147,1.4852153089745457e-14
0,-35.18765372814677,27.206316369024847,44.478698556313795,4.054218281847266,0.9587934489192327,4.195538126620725e-14
0,18.312578377144185,11.40831314502565,21.575452153640114,2.1279394992521063,1.200779194652413,1.8591621944789017e-13
0,-23.59599236702323,-7.331500189785354,24.708738349366225,5.013641861786905,0.9092016151651664,4.348443172968456e-13
0,32.565926421896435,29.003400206669838,43.608907200990814,2.298396905239271,1.0849328996097032,2.4258076371477167e-14
0,-25.34245646503367,-15.07039616348312,29.484859507999246,5.2488800751839575,0.9495278942260569,1.33553774762107e-13
0,-64.58075914147707,3.2799175171946535,64.66399547050177,4.661644736455684,0.9096567754566424,4.599809222310317e-14
0,27.593039129969366,8.917378393789683,28.99819728614259,1.8833766247958714,1.2040933144895076,1.1092195041930666e-13
0,-4.627329003556719,-16.14467735561423,16.794724785599797,6.004051834006004,1.025370063482793,1.5213039607967817e-13
0,-7.397381423607098,-17.189502405641537,18.713637938142426,5.876797838941617,1.012915916753941,1.3097593902601385e-13
0,96.93640584800974,16.946347357487227,98.406531630226,1.7438665847187362,1.099983756464494,5.7872807124024076e-15
0,10.51370117201206,21.76532741000647,24.17162364424754,2.6915982596120056,1.0880600062403825,1.0491109286301808e-13
0,-8.13580171990445,-4.350873268548226,9.226124203833793,5.203472809283028,0.9566655510780182,2.6341837380589896e-12
0,-25.737586181070604,41.40319435579664,48.750875328468794,3.6977669908041575,0.9872068604010457,1.706109633033144e-14
0,52.05681206411604,8.716371643390945,52.78150070720239,1.7366969503350793,1.1503405675230716,2.936153668236056e-14
0,-54.54312464282887,-27.63821215191707,61.14591741692607,5.181399877140996,0.9507347729058028,2.035926566173128e-14
0,32.111033379408426,28.85798044392442,43.17292554362521,2.3028891960106566,1.08510548287172,2.4834416808697333e-14
0,22.67011691920364,-6.287778657854362,23.525950811402545,1.3002375728360436,1.2243252109906269,1.6056182475850044e-13
0,-44.35191501154403,-31.052245453126897,54.14179820501407,5.323204293846842,0.9630868728573266,1.97197436090104e-14
0,-24.84979837217503,6.051874136676681,25.576115023668642,4.473501235983748,0.8850977875896614,6.011057587319171e-13
0,-9.494330318500545,-0.10046235530929047,9.494861814772921,4.722969885283219,0.8264990892419287,8.045924143573715e-12
0,20.295742070509725,34.823112253452926,40.30590891183626,2.613898385273188,1.0580715479410736,2.309387990865868e-14
0,-23.7928294280785,26.139067160063647,35.346139310990615,3.880036597548517,0.9722971861155727,6.254530992343343e-14
0,-4.8647125041708925,-10.550803370059597,11.618299337764437,5.851159606466541,1.0306721084013237,4.404081238548841e-13
0,14.961195337743167,-44.010990359840065,46.48445587922959,0.32768674509740203,1.0307261185915615,9.113312621243991e-15
0,-16.621750949524944,36.50498575658754,40.11105321126201,3.568868702991612,0.9958859800322564,2.7444627219835e-14
0,-12.962000886629433,27.251277692930252,30.176905124319497,3.585569122803251,0.997210841609386,7.03822685596559e-14
0,12.551659442448992,6.641282036293152,14.200379637348046,2.0574644020182538,1.3411709068036715,4.5140220582935264e-13
0,96.94322758642824,18.534535462420024,98.69913059232957,1.759706159758291,1.0984100086067756,5.640355639226645e-15
0,21.196816345166056,-41.64326745243464,46.72758015653819,0.4708291582996593,1.0387579435482661,9.901965273492633e-15
0,-38.336604502461604,51.247220971488694,63.999788297140086,3.7838586176564073,0.9828061342750604,8.17287875566244e-15
0,-19.148666255959856,17.533901593619003,25.963611545331105,3.9709823628757897,0.9595242354924474,1.9851666147474723e-13
0,9.092225227261844,-47.215073565314626,48.082551215189575,0.19024160656727107,1.0232427909062034,7.871113087880956e-15
0,-24.05465748798667,-16.504577864391823,29.172377985795496,5.313744188107763,0.9576495570770637,1.152958294420892e-13
0,-61.82163001553296,5.64762840085092,62.07905962828,4.621288246252774,0.9095007273649256,5.069422636272078e-14
0,-32.62588427948893,-45.80063976954362,56.23297011823316,5.664221669777486,0.9868631646550123,8.636190215042978e-15
0,12.708837568851566,20.27285651794325,23.92704043020296,2.5816358678567815,1.102994179535719,1.1151374763855142e-13
0,-8.546436968801025,-29.762611373327207,30.965377772948205,6.003555593062651,1.009201868211413,3.017214542421405e-14
0,-11.470843951002582,-1.60007506884306,11.581904039240943,4.850985293262509,0.8579488013163088,4.610741351881697e-12
0,-4.793272940874867,26.624937771373034,27.052962440649818,3.3197141188079744,1.020950552944344,8.136565209839286e-14
0,-56.20417314909239,4.220902613128401,56.362444040714486,4.63743023752774,0.9050858665877247,6.867768366000291e-14
0,-5.655435296054315,-2.0388906413506,6.011740466391078,5.0584037461900095,0.9619731538210664,3.653354637897844e-12
0,42.54306472223914,35.107372654320436,55.158317329755036,2.2607270483087873,1.0742744198353726,1.3025047673201727e-14
0,-1.6869905455710632,21.622008015753064,21.687719283828255,3.2194568303689386,1.0401530443704083,1.58969309265434e-13
0,10.372722316537505,45.54006812000978,46.7064360943021,2.9176419811376957,1.030569841504584,1.2970533107050324e-14
0,-9.588751384438822,45.7916128091797,46.784783389243216,3.348009862800336,1.0071484382982157,1.4046638934867901e-14
0,-10.900352118181006,-38.06464083235721,39.594627893145926,6.004284846005808,1.0056028362128349,1.5328951057378908e-14
0,13.869809810302744,19.798807350137693,24.1736301920468,2.5305059469521036,1.1087547264789785,1.103348135280649e-13
0,15.181701402399156,-17.929568393495288,23.49369022202842,0.7025990251786672,1.0917629185992883,7.499391296583359e-14
0,2.7963127093712066,17.810629436861415,18.02880710712124,2.985861464848065,1.0831149910550213,2.615577665628603e-13
0,-35.06672220807778,-17.066408932454905,38.99919640541676,5.165327068638887,0.9416955550973601,7.741738638193015e-14
0,17.491607474063287,-13.361620921019684,22.01111641111685,0.9184662802287404,1.132783216456259,1.1377137485295392e-13
0,-1.349931618733844,30.894697940763795,30.924176241676868,3.1852594827430596,1.0267763494110596,4.9381130259506673e-14
0,-14.052500127427837,46.22157705294841,48.31052623490047,3.4367377118743407,1.0020778417013239,1.3453848347937435e-14
0,72.91518342203196,24.396424501726656,76.88829235935087,1.8936741648179387,1.0992605023996818,9.1504301601773e-15
0,-76.17794239695327,8.058603353378501,76.60300252497035,4.606994392300297,0.9178615645948475,2.650487913903782e-14
0,-1.7137731379026937,-8.738126898070556,8.9045988149372,6.089517588597432,1.07122549635323,6.34357254105908e-13
0,-5.21170387522066,39.57634280012223,39.918025586391124,3.272526610165797,1.0140303787566332,2.2449609042763748e-14
0,1.823178477699998,25.494836482141466,25.559942625379268,3.0702025069032683,1.044870420601848,8.832302144708841e-14
