,X,Y,impact_parameter,angle,z_factor,flux_o
0,2.5063238698382158,9.056645486844763,9.39704670707273,2.8716107507298445,1.0325128922858768,3.723439914654229e-14
0,3.7549291136915968,-3.995168879047349,5.482779132972366,0.75440979891335,1.0264176234359104,1.894748769376455e-14
0,5.201876444960791,-2.1209103985598543,5.617631125960234,1.1836523242703085,1.0188143682187711,7.0079225806753864e-15
0,5.075192750947868,6.756725725300987,8.450498446021864,2.497367473175001,1.0575364842211212,8.832262815024906e-14
0,-5.01910643501428,-2.416872401157579,5.570700279989847,5.161155282234272,1.0156587945158553,3.1554158685590056e-14
0,4.911032634322374,4.153771388172841,6.432111494725716,2.2728493878566787,1.3840775229337352,9.048943720212221e-13
0,-2.660841690669209,8.599838079944796,9.002071622913915,3.4416563314039696,1.0277850285453132,8.101292553764788e-14
0,6.332411020679948,4.6890011402548755,7.879477205255459,2.2081744403167387,1.0542649397266843,6.638757130933156e-14
0,3.7427365166377498,-3.9965007433667568,5.475408187953179,0.7526205998058183,1.0358750135456762,3.8691678813227554e-14
0,-4.884918260512091,8.303956067250033,9.634215732414502,3.6733380335113095,1.0104814172674257,7.360546528000055e-15
0,3.876586136691016,8.95575584291588,9.758764409140477,2.733083616535145,1.020703188146394,1.0348972094704517e-14
0,2.944861443503364,-4.596108066472069,5.45860955556654,0.5698304529560487,1.030860331710336,3.074965487401384e-14
0,6.801098788276678,3.6667649496395285,7.72658462218615,2.0652658510106168,1.027865456479639,1.4845710413744365e-14
0,5.0425865122876825,-2.017118435110706,5.43106301889134,1.1902756183476955,1.3816065992414233,8.956399405259826e-13
0,-3.6702566665888474,-3.9846674219894407,5.417412524674843,5.5388370781385206,1.0487844451373245,7.637281546683579e-13
0,-2.315412111096171,9.140324662006334,9.429033257502702,3.389692038252908,1.0221359939985508,3.7674932169298645e-14
0,-1.1143705926063732,9.854895872656552,9.917701068219843,3.2541922228788516,1.017859982280935,1.5469842640682418e-14
0,-1.3146367483582249,7.146991982676369,7.2668950852874,3.3235018810534416,1.106452469488919,1.163081038446728e-12
0,6.5524052665008234,1.6783303103696618,6.763934314226688,1.8215450153711004,1.0352784836362245,2.591691514772306e-14
0,0.49061570276022654,-5.412835168223022,5.435024224982522,0.09039232173054308,1.0311023402356703,4.806636348084403e-14
0,-1.0856330891128034,-5.319257212270041,5.428913012239509,6.081855494404719,1.0353316889142665,9.588489704616673e-14
0,6.8445819655687785,3.559938709993256,7.715015612576414,2.0504025679163598,1.0241674604035749,1.0647123483631122e-14
